,temp,solarradiation,humidity,wspd,timestamp
0,9.7,0.0,91.8,3.2,2020-01-01 00:00:00
1,9.9,0.0,91.12,7.8,2020-01-01 01:00:00
2,9.8,0.0,90.03,7.1,2020-01-01 02:00:00
3,9.4,0.0,93.96,5.6,2020-01-01 03:00:00
4,8.9,0.0,95.24,5.7,2020-01-01 04:00:00
5,8.4,0.0,97.62,7.6,2020-01-01 05:00:00
6,7.5,0.0,98.12,6.1,2020-01-01 06:00:00
7,7.0,0.0,98.19,9.0,2020-01-01 07:00:00
8,6.9,8.0,97.59,8.0,2020-01-01 08:00:00
9,6.9,50.0,98.79,6.3,2020-01-01 09:00:00
10,6.9,209.0,97.56,7.2,2020-01-01 10:00:00
11,8.8,337.0,89.15,8.4,2020-01-01 11:00:00
12,10.2,441.0,83.02,6.2,2020-01-01 12:00:00
13,13.6,466.0,74.16,5.4,2020-01-01 13:00:00
14,13.9,450.0,73.27,5.1,2020-01-01 14:00:00
15,12.5,357.0,79.8,4.5,2020-01-01 15:00:00
16,11.6,224.0,86.28,4.6,2020-01-01 16:00:00
17,10.6,53.0,91.27,3.8,2020-01-01 17:00:00
18,9.9,5.0,93.73,2.1,2020-01-01 18:00:00
19,9.5,0.0,93.8,1.8,2020-01-01 19:00:00
20,9.8,0.0,91.58,1.5,2020-01-01 20:00:00
21,9.6,0.0,93.82,2.8,2020-01-01 21:00:00
22,9.4,0.0,94.39,1.6,2020-01-01 22:00:00
23,8.9,0.0,96.73,2.4,2020-01-01 23:00:00
24,8.9,0.0,96.81,2.1,2020-01-02 00:00:00
25,8.5,0.0,96.88,2.1,2020-01-02 01:00:00
26,8.5,0.0,96.88,3.1,2020-01-02 02:00:00
27,8.4,0.0,98.13,5.3,2020-01-02 03:00:00
28,8.0,0.0,98.2,3.5,2020-01-02 04:00:00
29,8.5,0.0,97.0,3.8,2020-01-02 05:00:00
30,8.4,0.0,95.86,4.5,2020-01-02 06:00:00
31,8.5,0.0,96.38,4.8,2020-01-02 07:00:00
32,8.4,0.0,94.71,6.9,2020-01-02 08:00:00
33,8.5,26.0,96.43,7.8,2020-01-02 09:00:00
34,8.9,64.0,92.99,8.4,2020-01-02 10:00:00
35,9.5,94.0,91.24,7.9,2020-01-02 11:00:00
36,10.4,122.0,88.34,6.2,2020-01-02 12:00:00
37,11.4,120.0,86.26,7.0,2020-01-02 13:00:00
38,12.0,89.0,82.85,7.7,2020-01-02 14:00:00
39,12.0,76.0,84.87,10.4,2020-01-02 15:00:00
40,11.6,41.0,87.98,8.3,2020-01-02 16:00:00
